2015-10-05 17:20:00,317 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: tela-poly:tela-poly:1.0-SNAPSHOT @ C:\Users\Karim\Desktop\SI3\Projet\proto-java\pom.xml.
2015-10-05 17:20:00,713 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /proto-java/src/main/java
2015-10-05 17:20:00,714 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /proto-java/src/main/resources
2015-10-05 17:20:00,715 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /proto-java/src/test/java
2015-10-05 17:20:01,267 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 1 sec
2015-10-05 17:20:01,954 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: tela-poly:tela-poly:1.0-SNAPSHOT @ C:\Users\Karim\Desktop\SI3\Projet\proto-java\pom.xml.
2015-10-05 17:20:02,105 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-05 17:20:02,112 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-05 17:20:02,123 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-05 17:20:02,124 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Karim\Desktop\SI3\Projet\proto-java\src\test\resources
2015-10-05 17:20:03,110 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: tela-poly:tela-poly:1.0-SNAPSHOT @ C:\Users\Karim\Desktop\SI3\Projet\proto-java\pom.xml.
